"Start.station.number","starthour","variable","value"
31042,2,"inflow",8
31042,3,"inflow",3
31042,5,"inflow",3
31042,6,"inflow",22
31042,7,"inflow",281
31042,8,"inflow",995
31042,9,"inflow",543
31042,10,"inflow",244
31042,11,"inflow",316
31042,12,"inflow",428
31042,13,"inflow",505
31042,14,"inflow",401
31042,15,"inflow",360
31042,16,"inflow",360
31042,17,"inflow",422
31042,18,"inflow",477
31042,19,"inflow",392
31042,20,"inflow",261
31042,21,"inflow",108
31042,22,"inflow",75
31042,23,"inflow",34
31043,0,"inflow",4
31043,1,"inflow",5
31043,2,"inflow",2
31043,3,"inflow",1
31043,4,"inflow",NA
31043,5,"inflow",NA
31043,6,"inflow",7
31043,7,"inflow",119
31043,8,"inflow",174
31043,9,"inflow",112
31043,10,"inflow",87
31043,11,"inflow",144
31043,12,"inflow",198
31043,13,"inflow",179
31043,14,"inflow",202
31043,15,"inflow",219
31043,16,"inflow",172
31043,17,"inflow",308
31043,18,"inflow",250
31043,19,"inflow",212
31043,20,"inflow",129
31043,21,"inflow",39
31043,22,"inflow",31
31043,23,"inflow",32
31044,0,"inflow",19
31044,1,"inflow",10
31044,2,"inflow",6
31044,4,"inflow",NA
31044,5,"inflow",5
31044,6,"inflow",57
31044,7,"inflow",54
31044,8,"inflow",378
31044,9,"inflow",362
31044,10,"inflow",183
31044,11,"inflow",172
31044,12,"inflow",235
31044,13,"inflow",225
31044,14,"inflow",210
31044,15,"inflow",202
31044,16,"inflow",187
31044,17,"inflow",234
31044,18,"inflow",314
31044,19,"inflow",212
31044,20,"inflow",135
31044,21,"inflow",95
31044,22,"inflow",45
31044,23,"inflow",35
31045,0,"inflow",25
31045,1,"inflow",10
31045,2,"inflow",9
31045,3,"inflow",5
31045,4,"inflow",4
31045,5,"inflow",2
31045,6,"inflow",7
31045,7,"inflow",51
31045,8,"inflow",69
31045,9,"inflow",85
31045,10,"inflow",76
31045,11,"inflow",110
31045,12,"inflow",153
31045,13,"inflow",152
31045,14,"inflow",138
31045,15,"inflow",157
31045,16,"inflow",236
31045,17,"inflow",211
31045,18,"inflow",267
31045,19,"inflow",152
31045,20,"inflow",141
31045,21,"inflow",105
31045,22,"inflow",66
31045,23,"inflow",40
31046,0,"inflow",6
31046,4,"inflow",NA
31046,5,"inflow",3
31046,6,"inflow",6
31046,7,"inflow",10
31046,8,"inflow",37
31046,9,"inflow",45
31046,10,"inflow",73
31046,11,"inflow",82
31046,12,"inflow",100
31046,13,"inflow",114
31046,14,"inflow",115
31046,15,"inflow",92
31046,16,"inflow",88
